"","coef","se","zval","pval","lb","ub","X","Y","time","corrected.Pval"
"1",0.011060740298107,0.0277518736569558,0.398558325640645,0.690218673876147,-0.0433329320695264,0.0654544126657405,"ln_aat1","t2_f2_8ip","14 months",0.888360351566629
"2",-0.0133244587465784,0.0214233228606105,-0.621960413576976,0.533967898412846,-0.0553141715533749,0.0286652540602181,"ln_aat1","t2_f2_23d","14 months",0.859223989196889
"3",0.00568138070654444,0.0308270800964645,0.184298373013798,0.853779390213356,-0.054739696282526,0.0661024576956148,"ln_aat1","t2_f2_VI","14 months",0.89090023326611
"4",0.0210094072838472,0.0387969320866876,0.541522387308973,0.588147571172729,-0.0550325796060606,0.097051394173755,"ln_aat1","t2_f2_12i","14 months",0.882221356759093
"5",-0.00698247860989987,0.0240400047681982,-0.290452463600871,0.771470112482804,-0.0541008879555684,0.0401359307357686,"ln_mpo1","t2_f2_8ip","14 months",0.888360351566629
"6",0.00629998587837161,0.0183030525723731,0.344204107673323,0.730692793362551,-0.0295739971634797,0.0421739689202229,"ln_mpo1","t2_f2_23d","14 months",0.888360351566629
"7",0.0198301273950118,0.0246335262245393,0.805005633958225,0.420816428645729,-0.0284515840050852,0.0681118387951089,"ln_mpo1","t2_f2_VI","14 months",0.850014794604314
"8",0.00776190819139035,0.0288113369281835,0.269404651743099,0.78761830688034,-0.0487083121878492,0.0642321285706299,"ln_mpo1","t2_f2_12i","14 months",0.888360351566629
"9",-0.0168597569385093,0.0357381093380791,-0.471758502359976,0.637099174103943,-0.0869064512411444,0.0531869373641258,"ln_neo1","t2_f2_8ip","14 months",0.888360351566629
"10",0.0003117001630417,0.0282812339638087,0.0110214484785417,0.991206334452817,-0.0551195184060233,0.0557429187321067,"ln_neo1","t2_f2_23d","14 months",0.991206334452817
"11",0.021749612482087,0.0352315630836359,0.617333168853615,0.537014993248055,-0.0473042511618394,0.0908034761260135,"ln_neo1","t2_f2_VI","14 months",0.859223989196889
"12",0.0117942201930348,0.050221649185739,0.234843347127356,0.814330322269409,-0.0866402122110137,0.110228652597083,"ln_neo1","t2_f2_12i","14 months",0.888360351566629
"13",0.0263530889977737,0.0197962708853926,1.33121481062473,0.183118339457437,-0.0124476019375958,0.0651537799331432,"ln_L_conc_t1","t2_f2_8ip","14 months",0.627834306711212
"14",0.040142298954604,0.013967486659483,2.87398154966913,0.00405332641139498,0.0127660251020172,0.0675185728071907,"ln_L_conc_t1","t2_f2_23d","14 months",0.0486399169367398
"15",0.0180610787281321,0.0190736514022265,0.946912489237579,0.343683373293196,-0.0193232780202318,0.055445435476496,"ln_L_conc_t1","t2_f2_VI","14 months",0.850014794604314
"16",0.0411069798864307,0.0238901998262834,1.72066287370296,0.0853120170784268,-0.00571781177308484,0.0879317715459462,"ln_L_conc_t1","t2_f2_12i","14 months",0.341248068313707
"17",0.0473598534091978,0.0220162097215415,2.15113564088459,0.0314654950886711,0.00420808235497646,0.0905116244634192,"ln_M_conc_t1","t2_f2_8ip","14 months",0.188792970532026
"18",0.0472142658274942,0.0155578344493742,3.03475821015652,0.00240728592758665,0.0167209103067209,0.0777076213482676,"ln_M_conc_t1","t2_f2_23d","14 months",0.0486399169367398
"19",0.0393090899688408,0.0214311722993133,1.83420157422281,0.0666240778511697,-0.0026960077378133,0.0813141876754949,"ln_M_conc_t1","t2_f2_VI","14 months",0.319795573685615
"20",0.0704778335474858,0.0273813899736233,2.5739319156324,0.0100550057570583,0.0168103091991842,0.124145357895787,"ln_M_conc_t1","t2_f2_12i","14 months",0.0804400460564661
"21",-0.0274168648934889,0.0240299230845108,-1.14094684352782,0.253892044237961,-0.0745155141391301,0.0196817843521522,"ln_reg2","t2_f2_8ip","14 months",0.761676132713883
"22",0.00993056261614355,0.013453353815829,0.738147732683533,0.46042468041067,-0.0164380108628813,0.0362991360951684,"ln_reg2","t2_f2_23d","14 months",0.850014794604314
"23",-0.0159569943686559,0.0198323918489272,-0.804592531763591,0.421054853186638,-0.0548284823925532,0.0229144936552413,"ln_reg2","t2_f2_VI","14 months",0.850014794604314
"24",-0.0200475725383902,0.0259321918453204,-0.773076670802428,0.439477006811349,-0.0708746685552181,0.0307795234784378,"ln_reg2","t2_f2_12i","14 months",0.850014794604314
"25",0.165255263309038,0.174119067051508,0.949093434208168,0.342573093471481,-0.176018108111917,0.506528634729992,"ln_aat2","t3_map","28 months",0.570955155785802
"26",0.919228950821596,0.477552355484113,1.92487575501484,0.0542449037406348,-0.0167736659272664,1.85523156757046,"ln_aat2","t3_hr_mean","28 months",0.241088461069488
"27",-0.0313839724129934,0.0291591967345396,-1.07629756397982,0.28179419777772,-0.0885359980126911,0.0257680531867043,"ln_aat2","t3_gcr_mean","28 months",0.512353086868581
"28",0.0173515709833031,0.0206400414404727,0.840675200839406,0.400529917134999,-0.0231029102400234,0.0578060522066296,"ln_aat2","t3_gcr_cpg12","28 months",0.593377655014814
"29",-0.501008660851408,0.205693208575429,-2.43570832659594,0.0148626634729797,-0.904167349659248,-0.0978499720435675,"ln_aat2","t3_saa_slope","28 months",0.110906009611695
"30",0.000714555904838254,0.000298395881145675,2.39465739974277,0.0166359014417542,0.000129699977792731,0.00129941183188378,"ln_aat2","t3_cort_slope","28 months",0.110906009611695
"31",-8.15817537525555,3.32435119323388,-2.45406544045649,0.0141251273614889,-14.673903713994,-1.64244703651714,"ln_aat2","t3_residual_saa","28 months",0.110906009611695
"32",0.0243521215093644,0.00965204022116055,2.52300248977167,0.0116357577180775,0.00543412267588972,0.0432701203428391,"ln_aat2","t3_residual_cort","28 months",0.110906009611695
